step,arm,mass_ess,n_occupied,resampled,benefit,lam,n_replacements,duplicate_pairs,cooling,row,seed
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,0,5200
10000,A2,0.1235290587183733,32,False,0.0,0.0,0,0.0,False,1,5201
10000,A2,0.21107383506103997,32,False,0.0,0.0,0,0.0,False,2,5202
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,3,5203
10000,A2,0.0,30,False,0.0,0.0,0,0.0,False,4,5204
10000,A2,0.12380579262103027,32,False,0.0,0.0,0,0.0,False,5,5205
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,6,5206
10000,A2,0.15173954752239843,32,False,0.0,0.0,0,0.0,False,7,5207
10000,A2,0.147828645303327,32,False,0.0,0.0,0,0.0,False,8,5208
10000,A2,0.07435873480704831,32,False,0.0,0.0,0,0.0,False,9,5209
10000,A2,0.20786912631590065,32,False,0.0,0.0,0,0.0,False,10,5210
10000,A2,0.1082292860405016,32,False,0.0,0.0,0,0.0,False,11,5211
10000,A2,0.0,31,False,0.0,0.0,0,0.0,False,12,5212
10000,A2,0.16099029450346095,32,False,0.0,0.0,0,0.0,False,13,5213
10000,A2,0.15973393100348882,32,False,0.0,0.0,0,0.0,False,14,5214
10000,A2,0.11930609367937961,32,False,0.0,0.0,0,0.0,False,15,5215
10500,A2,0.12286703784494375,32,False,0.0,0.0,0,0.0,False,0,5200
10500,A2,0.15891275416491746,32,False,0.0,0.0,0,0.0,False,1,5201
10500,A2,0.19343499684163243,32,False,0.0,0.0,0,0.0,False,2,5202
10500,A2,0.13046919553004133,32,False,0.0,0.0,0,0.0,False,3,5203
10500,A2,0.0,30,False,0.0,0.0,0,0.0,False,4,5204
10500,A2,0.13437275305590451,32,False,0.0,0.0,0,0.0,False,5,5205
10500,A2,0.0,31,False,0.0,0.0,0,0.0,False,6,5206
10500,A2,0.17262130337552206,32,False,0.0,0.0,0,0.0,False,7,5207
10500,A2,0.15090106709245305,32,False,0.0,0.0,0,0.0,False,8,5208
10500,A2,0.09248662394700422,32,False,0.0,0.0,0,0.0,False,9,5209
10500,A2,0.13417798421685223,32,False,0.0,0.0,0,0.0,False,10,5210
10500,A2,0.07789946979628605,32,False,0.0,0.0,0,0.0,False,11,5211
10500,A2,0.0,31,False,0.0,0.0,0,0.0,False,12,5212
10500,A2,0.13196029684158822,32,False,0.0,0.0,0,0.0,False,13,5213
10500,A2,0.1972596012179872,32,False,0.0,0.0,0,0.0,False,14,5214
10500,A2,0.12840925298119477,32,False,0.0,0.0,0,0.0,False,15,5215
11000,A2,0.14253275531874413,32,False,0.0,0.0,0,0.0,False,0,5200
11000,A2,0.17639555489100672,32,False,0.0,0.0,0,0.0,False,1,5201
11000,A2,0.17507048347015258,32,False,0.0,0.0,0,0.0,False,2,5202
11000,A2,0.15354979320989023,32,False,0.0,0.0,0,0.0,False,3,5203
11000,A2,0.0,31,False,0.0,0.0,0,0.0,False,4,5204
11000,A2,0.0,31,False,0.0,0.0,0,0.0,False,5,5205
11000,A2,0.1500420673359125,32,False,0.0,0.0,0,0.0,False,6,5206
11000,A2,0.08282255365329697,32,False,0.0,0.0,0,0.0,False,7,5207
11000,A2,0.16510082790224703,32,False,0.0,0.0,0,0.0,False,8,5208
11000,A2,0.09120224529073258,32,False,0.0,0.0,0,0.0,False,9,5209
11000,A2,0.10144080464941717,32,False,0.0,0.0,0,0.0,False,10,5210
11000,A2,0.1004702504642681,32,False,0.0,0.0,0,0.0,False,11,5211
