init,seed,P1_dI_0.0175,P1_dF_0.0175,P2_dI_0.0175,P2_dF_0.0175,C1_dI_0.0175,C1_dF_0.0175,C2_dI_0.0175,C2_dF_0.0175,A1_dI_0.0175,A1_dF_0.0175,A2_dI_0.0175,A2_dF_0.0175,A3_dI_0.0175,A3_dF_0.0175,A4_dI_0.0175,A4_dF_0.0175,V_fr_dI_0.0175,V_fr_dF_0.0175,V_ot_dI_0.0175,V_ot_dF_0.0175,V_otr_dI_0.0175,V_otr_dF_0.0175,V_fullr_dI_0.0175,V_fullr_dF_0.0175,V_frr_dI_0.0175,V_frr_dF_0.0175,P1_dI_0.07,P1_dF_0.07,P2_dI_0.07,P2_dF_0.07,C1_dI_0.07,C1_dF_0.07,C2_dI_0.07,C2_dF_0.07,A1_dI_0.07,A1_dF_0.07,A2_dI_0.07,A2_dF_0.07,A3_dI_0.07,A3_dF_0.07,A4_dI_0.07,A4_dF_0.07,V_fr_dI_0.07,V_fr_dF_0.07,V_ot_dI_0.07,V_ot_dF_0.07,V_otr_dI_0.07,V_otr_dF_0.07,V_fullr_dI_0.07,V_fullr_dF_0.07,V_frr_dI_0.07,V_frr_dF_0.07,P1_dI_raw,P1_dF_raw,P2_dI_raw,P2_dF_raw,C1_dI_raw,C1_dF_raw,C2_dI_raw,C2_dF_raw,A1_dI_raw,A1_dF_raw,A2_dI_raw,A2_dF_raw,A3_dI_raw,A3_dF_raw,A4_dI_raw,A4_dF_raw,V_fr_dI_raw,V_fr_dF_raw,V_ot_dI_raw,V_ot_dF_raw,V_otr_dI_raw,V_otr_dF_raw,V_fullr_dI_raw,V_fullr_dF_raw,V_frr_dI_raw,V_frr_dF_raw
left,550,75.921,138.543,-58.863,-84.873,-26.451,-83.766,-12.862,-64.705,-43.044,6.449,-16.949,2.235,-88.604,19.489,-83.383,14.759,-42.115,-52.108,1.831,14.243,-58.109,-82.719,-91.618,-80.602,-49.560,-83.096,43.238,9.534,-33.337,-11.424,-3.567,-8.197,3.523,-6.028,-25.934,22.394,-7.762,3.245,-55.827,25.758,-44.989,6.082,-25.201,15.812,7.141,26.854,-28.576,12.362,-57.403,15.451,-22.566,8.831,74.065,150.569,-58.617,-87.760,-26.737,-82.522,-12.225,-69.268,-43.878,-22.071,-17.935,-0.206,-90.276,-27.199,-85.782,-6.773,-42.919,-55.588,-0.642,11.282,-58.883,-86.380,-92.876,-87.276,-49.897,-86.351
left,551,69.675,88.197,-61.271,-81.984,-34.960,-82.049,-28.719,-67.504,-37.127,-1.743,-7.811,4.336,-85.633,8.791,-78.934,15.522,-37.771,-47.979,5.587,-2.099,-59.107,-82.362,-90.655,-80.471,-55.642,-83.095,42.291,10.359,-36.609,-9.495,-14.431,-8.945,-7.739,-6.198,-18.799,13.971,-2.234,6.480,-47.202,17.485,-36.431,9.763,-22.968,3.900,9.609,14.664,-30.517,3.776,-54.821,6.976,-28.930,-2.539,64.413,92.087,-59.994,-84.162,-34.606,-82.637,-30.454,-69.498,-36.164,-12.985,-5.422,-0.257,-87.925,-32.120,-82.109,-22.192,-36.534,-50.339,4.347,-4.608,-58.255,-84.891,-92.103,-88.214,-55.861,-84.852
left,552,69.149,256.052,-62.249,-87.394,-28.465,-82.251,-14.271,-55.373,-37.707,-3.790,-25.514,0.575,-87.645,2.270,-85.227,6.910,-30.216,-61.954,18.039,35.463,-55.439,-82.924,-91.162,-81.848,-40.175,-83.021,26.907,14.046,-37.407,-16.517,-6.322,-11.042,-4.253,-6.197,-19.337,16.456,-17.037,1.499,-48.350,21.907,-46.877,6.250,-4.873,8.810,20.723,24.093,-24.436,3.597,-51.615,8.446,-8.919,2.067,69.450,293.407,-61.028,-88.372,-26.666,-81.470,-12.088,-56.412,-38.005,-16.329,-24.881,4.949,-89.387,-33.249,-87.141,-16.274,-31.155,-66.108,16.657,33.334,-54.536,-84.496,-92.217,-87.631,-39.477,-85.227
left,553,87.943,322.237,-59.702,-84.314,-30.123,-81.278,1.822,-36.135,-35.043,13.159,-25.618,3.707,-86.437,21.282,-84.469,11.152,-40.069,-68.013,12.636,35.061,-54.610,-78.814,-90.522,-77.293,-38.977,-79.571,38.103,14.641,-33.982,-12.235,-4.247,-0.172,12.231,0.497,-21.757,14.736,-18.763,0.117,-49.359,18.583,-47.421,3.474,-17.826,13.839,13.484,30.506,-25.080,14.539,-51.510,18.379,-7.776,14.405,84.574,355.845,-58.919,-87.195,-30.520,-82.207,-0.925,-43.934,-34.732,-6.872,-23.467,4.114,-88.478,-22.752,-86.489,-13.639,-40.194,-71.614,10.385,29.398,-54.652,-83.430,-91.994,-86.256,-40.747,-84.085
left,554,62.514,181.347,-60.850,-85.356,-27.697,-82.863,-29.242,-60.009,-38.071,4.915,-10.081,3.026,-88.047,16.868,-82.644,14.764,-29.623,-56.362,14.372,22.775,-55.223,-82.021,-91.357,-79.972,-50.203,-82.549,31.136,9.577,-34.463,-11.282,1.290,-7.733,-9.444,-4.532,-25.400,19.880,-5.094,1.830,-54.948,24.786,-42.684,5.997,-12.079,13.777,15.296,24.674,-24.438,10.609,-54.367,15.135,-20.382,8.621,65.047,194.734,-60.006,-86.536,-27.593,-83.032,-28.892,-64.113,-37.999,-5.706,-7.171,10.580,-89.910,-24.447,-84.893,-11.398,-31.990,-59.682,12.249,18.832,-55.107,-84.000,-92.694,-87.180,-51.639,-85.531
left,555,43.899,188.277,-60.489,-83.179,-38.060,-81.594,-24.015,-53.178,-33.826,5.772,-25.175,3.562,-85.874,13.826,-84.027,11.448,-27.908,-59.850,3.739,15.742,-59.012,-80.532,-91.250,-79.049,-45.221,-81.201,19.708,8.835,-34.836,-12.090,-14.495,-6.407,-7.828,-4.823,-16.809,11.427,-15.368,0.526,-47.042,16.726,-46.125,5.307,-8.813,9.000,9.158,18.630,-28.868,4.288,-54.719,9.248,-15.951,3.742,43.374,222.205,-60.244,-84.560,-36.339,-81.774,-22.683,-54.500,-37.431,-4.250,-26.278,9.341,-88.357,-28.054,-86.282,-17.842,-30.118,-64.921,0.192,13.027,-60.168,-82.548,-92.588,-86.887,-45.969,-84.039
left,556,61.416,115.573,-59.570,-83.783,-18.172,-81.373,-23.009,-65.216,-43.559,6.432,-15.236,0.501,-88.734,12.252,-83.080,5.996,-29.231,-43.290,14.232,22.252,-53.815,-80.175,-90.781,-79.091,-45.514,-80.274,30.986,8.539,-32.184,-10.871,6.520,-6.216,-5.544,-4.081,-25.552,14.670,-5.956,0.857,-54.338,18.343,-42.319,4.088,-10.726,11.165,16.937,20.658,-20.698,7.542,-51.361,10.987,-15.675,6.628,64.020,123.408,-58.719,-85.790,-18.621,-81.131,-18.916,-69.019,-44.379,-9.830,-16.495,2.467,-90.185,-25.005,-85.264,-14.778,-33.150,-46.405,9.647,19.736,-54.737,-82.986,-92.013,-85.849,-45.795,-83.396
left,557,66.950,206.087,-61.711,-85.637,-35.329,-85.241,-22.554,-55.555,-44.499,3.240,-17.459,-1.081,-88.905,12.371,-83.500,7.668,-43.850,-65.342,-6.258,6.085,-64.107,-84.763,-92.825,-83.415,-56.515,-84.596,26.211,13.474,-35.124,-11.294,-15.167,-10.095,-8.203,-1.197,-28.639,12.545,-10.803,1.878,-55.310,15.527,-44.139,4.577,-26.066,0.521,-6.687,14.066,-39.462,1.184,-62.088,3.865,-32.130,-0.681,64.964,215.622,-60.674,-87.111,-34.503,-86.152,-22.374,-60.252,-45.139,-2.188,-16.427,2.349,-90.761,-22.810,-85.925,-19.229,-44.612,-66.704,-8.630,5.090,-64.068,-86.455,-93.948,-89.311,-57.005,-86.766
left,558,46.166,178.992,-60.913,-84.732,-26.981,-80.447,-31.544,-60.218,-36.032,8.451,-16.541,7.078,-86.670,11.497,-82.608,10.086,-18.246,-50.219,19.497,38.884,-53.292,-78.795,-90.267,-78.199,-44.034,-80.196,16.278,6.630,-34.207,-9.812,-6.077,-7.456,-14.739,-6.548,-20.507,16.110,-10.272,2.906,-49.360,18.587,-42.840,5.101,-2.406,11.735,13.480,19.144,-25.338,7.453,-52.438,9.745,-16.791,4.419,48.521,209.141,-61.040,-87.856,-26.627,-80.819,-30.427,-59.616,-40.029,-13.418,-16.829,-7.039,-89.153,-28.100,-84.957,-22.804,-23.955,-55.763,12.943,36.756,-55.997,-83.393,-92.041,-86.209,-47.093,-82.135
left,559,76.045,179.697,-62.133,-85.297,-43.009,-86.529,-24.973,-59.140,-30.653,9.982,-11.149,0.647,-86.589,12.427,-82.818,2.884,-40.714,-63.972,4.370,0.769,-60.478,-85.184,-92.357,-84.855,-55.519,-85.279,39.640,12.473,-36.519,-12.047,-21.572,-14.119,-5.564,-1.615,-14.881,14.437,-6.133,0.547,-49.769,16.520,-44.606,2.377,-24.691,-0.651,5.161,11.741,-33.243,-1.720,-60.605,0.068,-28.882,-2.255,71.479,192.656,-61.751,-88.085,-41.270,-87.349,-24.741,-63.406,-32.731,-6.228,-12.848,-4.709,-88.441,-23.839,-85.025,-22.605,-39.767,-65.979,3.288,-0.435,-60.493,-88.136,-93.212,-90.364,-54.669,-87.550
