init,seed,P1_dI_0.0175,P1_dF_0.0175,P2_dI_0.0175,P2_dF_0.0175,C1_dI_0.0175,C1_dF_0.0175,C2_dI_0.0175,C2_dF_0.0175,A1_dI_0.0175,A1_dF_0.0175,A2_dI_0.0175,A2_dF_0.0175,A3_dI_0.0175,A3_dF_0.0175,A4_dI_0.0175,A4_dF_0.0175,V_fr_dI_0.0175,V_fr_dF_0.0175,V_ot_dI_0.0175,V_ot_dF_0.0175,V_otr_dI_0.0175,V_otr_dF_0.0175,V_fullr_dI_0.0175,V_fullr_dF_0.0175,V_frr_dI_0.0175,V_frr_dF_0.0175,P1_dI_0.07,P1_dF_0.07,P2_dI_0.07,P2_dF_0.07,C1_dI_0.07,C1_dF_0.07,C2_dI_0.07,C2_dF_0.07,A1_dI_0.07,A1_dF_0.07,A2_dI_0.07,A2_dF_0.07,A3_dI_0.07,A3_dF_0.07,A4_dI_0.07,A4_dF_0.07,V_fr_dI_0.07,V_fr_dF_0.07,V_ot_dI_0.07,V_ot_dF_0.07,V_otr_dI_0.07,V_otr_dF_0.07,V_fullr_dI_0.07,V_fullr_dF_0.07,V_frr_dI_0.07,V_frr_dF_0.07,P1_dI_raw,P1_dF_raw,P2_dI_raw,P2_dF_raw,C1_dI_raw,C1_dF_raw,C2_dI_raw,C2_dF_raw,A1_dI_raw,A1_dF_raw,A2_dI_raw,A2_dF_raw,A3_dI_raw,A3_dF_raw,A4_dI_raw,A4_dF_raw,V_fr_dI_raw,V_fr_dF_raw,V_ot_dI_raw,V_ot_dF_raw,V_otr_dI_raw,V_otr_dF_raw,V_fullr_dI_raw,V_fullr_dF_raw,V_frr_dI_raw,V_frr_dF_raw
left,570,68.213,245.096,-61.877,-82.983,-32.792,-84.882,-20.035,-41.520,-36.365,5.845,-19.806,0.420,-86.055,12.563,-82.426,6.793,-33.308,-72.752,12.184,-5.968,-57.232,-83.998,-90.628,-82.983,-46.670,-84.065,34.236,12.093,-36.767,-9.511,-10.450,-6.487,-6.542,0.054,-17.434,14.860,-9.178,1.377,-45.607,18.862,-40.168,4.910,-12.892,5.893,16.930,18.699,-26.062,7.410,-51.291,11.152,-18.590,5.950,64.668,247.322,-60.481,-85.068,-31.597,-85.104,-16.999,-46.552,-36.740,-8.646,-21.598,-2.966,-88.100,-24.604,-85.252,-19.916,-33.504,-73.760,9.498,-8.864,-56.728,-86.391,-91.860,-88.769,-44.807,-85.976
left,571,57.657,274.104,-58.450,-85.933,-29.171,-81.793,-20.906,-47.890,-37.233,2.841,-17.179,0.992,-87.114,13.184,-82.997,11.149,-32.134,-64.421,6.996,33.104,-55.543,-81.276,-90.873,-79.392,-46.322,-81.460,30.428,18.688,-33.258,-14.535,-6.112,-4.763,-3.537,-0.167,-21.335,20.082,-9.758,1.607,-51.454,23.604,-44.309,4.587,-15.155,12.742,10.661,33.812,-26.143,14.362,-54.421,17.716,-18.157,12.554,55.992,304.445,-57.700,-88.041,-29.126,-81.685,-20.514,-51.527,-38.107,-16.390,-16.986,-0.219,-89.536,-31.214,-85.965,-17.911,-33.521,-68.340,3.702,28.048,-56.134,-84.687,-92.584,-87.402,-47.158,-84.653
one_right,540,56.397,171.279,-60.279,-83.992,-29.909,-82.422,-36.645,-57.076,-37.378,13.238,-1.945,1.172,-89.349,20.115,-83.322,7.317,-29.347,-54.165,10.500,24.340,-56.108,-80.095,-92.535,-78.886,-55.237,-80.326,30.611,8.667,-34.167,-7.632,-2.195,-3.237,-17.754,-0.233,-21.716,21.057,4.545,0.607,-48.865,26.215,-31.711,4.893,-10.954,16.703,16.304,26.818,-23.434,17.138,-49.987,22.129,-26.763,16.432,52.361,178.419,-58.832,-85.891,-29.695,-82.909,-34.644,-61.868,-36.350,0.118,-4.028,3.016,-91.197,-20.565,-86.727,-18.265,-28.656,-56.440,8.700,21.280,-55.251,-82.889,-93.811,-86.424,-53.372,-83.390
one_right,541,94.730,198.388,-66.124,-83.556,-34.685,-74.961,-20.737,-52.047,-39.992,-3.234,-16.774,2.325,-88.772,-2.168,-84.427,3.452,-40.586,-50.620,15.697,47.343,-60.806,-75.770,-92.666,-75.504,-52.907,-76.321,48.430,11.380,-43.451,-7.979,-19.629,-4.890,2.192,0.609,-18.247,17.928,-17.865,1.872,-45.468,17.515,-45.214,1.515,-21.718,9.433,16.194,21.887,-34.294,12.161,-56.172,11.768,-20.002,10.100,89.206,225.780,-64.342,-87.032,-30.460,-75.167,-20.474,-56.348,-41.899,-24.990,-15.164,-3.221,-91.320,-30.643,-87.326,-10.515,-40.115,-55.907,13.307,43.648,-59.597,-81.372,-93.964,-82.776,-52.375,-80.752
one_right,542,86.951,217.398,-68.665,-84.880,-53.912,-82.935,-23.967,-54.539,-16.932,-2.053,-22.953,5.566,-82.448,0.617,-83.720,8.445,-34.647,-65.172,22.177,10.542,-61.715,-83.286,-91.911,-82.830,-50.310,-84.167,52.788,14.433,-41.131,-11.392,-25.777,-4.506,-6.768,-1.908,-0.288,16.852,-3.526,3.369,-30.191,19.060,-32.458,5.322,-17.717,10.049,25.719,25.932,-25.991,11.587,-48.186,13.695,-23.286,7.950,78.475,221.523,-67.771,-87.110,-51.017,-83.249,-21.023,-56.909,-21.595,-17.660,-27.168,-3.822,-86.717,-33.388,-87.661,-22.193,-33.232,-66.719,19.165,7.005,-61.595,-86.207,-93.493,-88.842,-47.268,-85.659
one_right,543,98.113,240.137,-66.386,-85.078,-46.068,-81.653,-39.174,-49.140,-19.809,11.596,9.483,-0.206,-85.297,15.318,-79.926,3.122,-35.057,-59.659,28.660,37.214,-56.752,-79.525,-92.070,-78.842,-60.498,-79.483,50.725,12.354,-37.915,-11.421,-11.732,-9.832,-11.275,-0.650,-11.982,23.251,5.469,0.173,-43.352,25.596,-32.120,2.079,-16.977,11.668,25.137,25.463,-22.309,11.134,-49.998,13.248,-26.338,10.942,88.797,276.579,-65.385,-87.254,-44.930,-81.407,-41.227,-50.279,-21.315,-7.282,11.192,-3.461,-88.223,-26.711,-83.358,-23.691,-33.694,-64.086,25.183,35.246,-56.669,-82.761,-93.515,-86.374,-61.030,-82.143
one_right,544,53.730,58.092,-66.167,-81.665,-36.746,-80.953,-53.511,-71.441,-29.109,5.444,11.880,1.497,-84.704,9.473,-75.861,5.374,-13.787,-30.711,32.536,9.541,-55.159,-79.916,-90.325,-79.148,-59.920,-80.212,24.330,-2.815,-37.655,-5.784,-8.718,-5.601,-23.047,-9.454,-11.592,18.462,0.728,1.124,-38.104,22.378,-29.479,4.466,4.112,22.130,29.442,18.692,-19.299,11.827,-43.500,15.523,-19.882,10.584,52.813,64.877,-64.736,-83.586,-32.054,-80.730,-53.086,-73.650,-34.768,-8.680,14.864,2.707,-88.789,-29.527,-80.259,-20.739,-17.750,-34.977,25.689,7.209,-55.678,-82.403,-92.383,-86.420,-61.413,-82.867
one_right,545,79.303,251.951,-59.455,-83.755,-33.773,-84.429,-13.299,-46.430,-33.393,12.043,-16.150,6.731,-89.139,14.568,-86.327,9.136,-39.323,-69.486,8.796,7.395,-55.888,-82.553,-92.807,-82.160,-47.392,-83.654,36.308,13.867,-33.533,-10.166,-9.683,-9.121,-1.073,-1.637,-12.258,17.627,-8.418,3.993,-44.382,19.023,-41.947,5.228,-12.533,4.504,19.225,18.995,-20.755,6.898,-49.767,8.167,-13.471,2.793,76.259,269.751,-57.913,-85.815,-32.613,-85.431,-12.873,-49.737,-33.697,1.728,-14.858,4.348,-91.697,-20.350,-89.338,-18.299,-39.770,-71.742,6.161,4.484,-55.320,-85.179,-94.405,-88.396,-47.523,-85.797
one_right,546,88.178,199.641,-63.087,-82.056,-38.536,-82.837,-21.425,-46.241,-30.602,11.954,-11.599,0.017,-86.229,18.451,-82.459,5.822,-38.592,-64.265,15.557,7.078,-57.345,-80.786,-91.536,-79.671,-51.748,-80.789,36.068,8.611,-36.155,-7.106,-9.999,-3.434,-0.439,1.245,-11.716,18.088,-12.745,-0.347,-35.826,21.262,-36.573,2.331,-8.537,13.023,24.452,22.755,-20.544,14.033,-42.243,17.097,-8.938,14.430,83.905,213.827,-61.913,-84.788,-36.998,-83.478,-23.620,-51.689,-33.258,-4.689,-8.294,-1.181,-89.295,-20.081,-85.291,-17.139,-39.969,-67.014,10.401,3.518,-57.951,-84.253,-93.256,-86.796,-54.148,-84.064
one_right,547,50.533,96.339,-68.007,-82.720,-56.176,-82.966,-47.365,-66.232,-16.196,11.547,-8.504,0.471,-80.941,22.290,-79.191,10.148,-23.740,-43.996,14.796,9.957,-63.274,-80.999,-91.647,-79.170,-59.860,-81.089,32.374,5.182,-38.764,-6.608,-22.951,-4.086,-22.047,1.703,-3.284,20.970,3.986,-3.413,-34.573,26.114,-29.655,0.694,-8.069,18.116,21.693,24.236,-25.481,16.027,-49.589,20.961,-28.337,20.127,42.195,101.633,-67.445,-85.944,-53.305,-82.614,-44.102,-71.362,-19.668,-13.467,-17.185,-1.038,-85.595,-25.008,-85.149,-14.237,-18.968,-46.916,15.223,7.034,-62.489,-84.956,-93.273,-86.962,-54.705,-84.798
one_right,548,113.465,239.313,-63.715,-84.258,-37.014,-83.906,-22.200,-49.120,-36.621,10.584,-0.442,4.982,-88.662,14.836,-82.189,9.019,-48.462,-66.682,10.016,13.054,-60.080,-82.203,-92.858,-81.519,-59.903,-83.048,45.362,11.422,-38.631,-9.822,-14.225,-7.647,-10.451,-0.807,-18.968,24.283,-0.382,1.295,-45.745,28.009,-33.301,4.331,-22.085,14.234,13.259,27.282,-30.495,14.779,-53.463,18.220,-30.228,13.312,107.088,265.726,-62.115,-86.609,-35.112,-83.552,-19.999,-51.906,-38.495,-10.563,-1.933,1.831,-91.417,-27.560,-86.315,-17.522,-49.130,-69.963,5.346,9.855,-60.090,-85.289,-94.431,-88.085,-59.304,-85.554
one_right,549,56.647,195.335,-67.237,-85.564,-38.156,-82.336,-48.494,-56.832,-31.582,4.908,-0.357,-1.238,-84.406,21.391,-77.289,14.280,-17.555,-56.536,29.148,28.365,-57.687,-81.469,-90.356,-78.558,-57.536,-81.237,31.896,12.651,-41.241,-12.593,-10.799,-7.100,-16.625,-0.662,-11.250,20.595,-7.045,-0.878,-34.004,27.190,-30.877,4.542,2.149,13.779,34.730,28.174,-20.834,12.033,-41.130,18.159,-14.834,13.026,58.364,211.911,-65.098,-87.926,-33.824,-82.100,-46.928,-59.317,-35.342,-15.904,4.147,-7.432,-89.230,-30.525,-82.653,-23.527,-22.587,-60.029,22.594,24.675,-57.212,-84.947,-92.873,-87.564,-58.916,-83.739
one_right,550,64.212,144.997,-61.859,-83.716,-36.789,-79.742,-29.065,-60.644,-27.144,-1.080,-11.706,1.370,-87.614,3.308,-84.989,5.866,-26.470,-49.770,20.745,23.063,-53.947,-79.960,-92.171,-79.072,-47.841,-80.231,21.628,5.841,-36.739,-10.318,-14.432,-9.222,-18.842,-5.727,-11.171,9.504,-5.194,0.687,-40.766,12.934,-36.780,3.841,-1.214,4.725,20.152,10.842,-23.991,-0.595,-49.314,2.519,-19.827,-1.273,74.090,165.165,-60.705,-86.954,-34.956,-80.444,-21.654,-65.959,-29.312,-18.538,-12.686,1.621,-90.705,-30.100,-88.519,-12.803,-32.788,-53.947,17.009,22.115,-54.022,-84.069,-93.955,-86.330,-47.342,-84.323
one_right,551,74.679,229.902,-67.379,-86.219,-38.937,-84.899,-36.015,-56.414,-40.949,10.034,-10.945,4.309,-87.957,12.221,-81.839,6.382,-36.719,-63.452,10.539,20.573,-63.942,-83.384,-92.646,-83.053,-59.510,-84.070,42.280,17.698,-40.541,-17.843,-17.096,-12.544,-9.651,-1.641,-14.813,17.141,-6.364,-1.689,-38.980,22.763,-32.928,3.029,-16.520,5.946,18.776,24.696,-29.377,2.447,-49.412,7.364,-24.577,4.208,71.404,246.925,-65.574,-87.353,-36.458,-84.449,-35.881,-63.606,-42.627,-4.545,-7.972,20.559,-91.232,-28.283,-85.936,-9.422,-38.219,-66.167,5.895,17.375,-63.544,-85.155,-94.429,-88.847,-60.386,-87.687
one_right,552,100.341,223.809,-67.421,-83.708,-44.130,-82.926,-0.488,-49.529,-33.794,11.174,-34.411,4.525,-85.506,21.798,-85.641,14.513,-43.328,-64.018,13.538,16.513,-63.011,-81.018,-91.902,-79.204,-43.605,-81.840,49.884,8.385,-42.314,-8.213,-20.027,0.707,9.096,-3.330,-14.593,16.510,-20.747,2.911,-37.521,18.795,-42.023,4.930,-21.002,17.942,18.405,27.832,-31.697,17.333,-50.034,19.635,-13.816,14.015,93.447,258.147,-65.392,-85.945,-40.833,-85.092,-1.656,-52.431,-37.087,5.858,-31.925,5.824,-89.772,-13.076,-88.932,-13.104,-44.399,-68.650,7.558,12.278,-62.776,-84.219,-93.948,-87.042,-45.320,-85.087
one_right,553,46.094,173.022,-67.170,-84.288,-42.580,-81.208,-32.729,-58.638,-37.065,-4.733,-28.703,3.713,-87.449,-0.644,-85.781,8.165,-24.654,-58.266,10.075,13.943,-63.863,-82.097,-92.793,-81.329,-49.314,-82.738,17.410,12.934,-40.627,-12.247,-18.552,-5.445,-16.226,-3.300,-15.274,16.467,-16.788,2.485,-39.160,22.111,-40.247,7.452,-1.008,11.122,16.226,25.495,-30.993,10.126,-50.447,15.463,-17.070,7.456,54.895,186.170,-65.711,-86.153,-41.023,-80.608,-26.186,-61.229,-37.270,-20.774,-28.046,2.208,-90.346,-37.388,-88.926,-19.226,-30.343,-61.230,7.895,10.948,-63.004,-84.637,-94.306,-87.858,-48.584,-84.968
one_right,554,85.159,197.487,-73.075,-86.545,-51.751,-83.216,-18.997,-60.391,-29.055,9.064,-38.455,1.056,-83.820,13.292,-85.964,4.974,-31.339,-54.269,27.133,36.044,-65.770,-81.695,-92.193,-80.985,-44.382,-81.886,39.441,14.352,-43.839,-13.498,-27.480,-10.382,-8.925,-3.142,-4.700,16.811,-14.014,2.125,-32.734,19.569,-39.308,4.537,-11.748,5.831,23.059,21.019,-30.889,4.684,-51.219,7.156,-19.625,2.505,91.898,223.157,-72.612,-88.399,-49.847,-82.530,-11.488,-60.393,-31.643,-10.906,-40.623,-5.343,-87.400,-27.976,-89.055,-23.479,-34.769,-58.485,25.177,34.160,-65.717,-84.436,-93.681,-87.418,-42.263,-83.557
one_right,555,93.260,193.052,-68.609,-84.304,-48.782,-82.737,-52.957,-55.095,-21.069,9.680,28.959,2.434,-84.004,15.859,-73.865,8.205,-33.362,-58.837,28.784,20.629,-59.573,-81.066,-91.807,-79.999,-68.651,-81.516,55.013,14.031,-42.446,-11.086,-21.164,-8.072,-21.393,-3.851,-5.910,16.112,13.497,5.451,-35.417,17.786,-22.096,6.971,-16.858,5.277,28.881,20.048,-25.824,6.739,-49.086,8.278,-34.645,1.222,91.491,206.797,-67.331,-87.086,-46.026,-83.358,-50.168,-59.282,-23.645,-8.663,25.538,-2.695,-88.450,-23.727,-81.009,-18.743,-34.123,-61.634,26.148,17.705,-58.788,-84.799,-93.766,-87.306,-67.172,-84.378
one_right,556,99.752,172.224,-67.850,-85.709,-52.490,-84.358,-12.112,-61.125,-12.607,3.691,-26.931,0.076,-83.302,11.071,-86.039,7.198,-35.346,-58.309,29.148,13.492,-58.480,-83.781,-92.067,-82.626,-43.176,-83.793,52.015,10.570,-41.616,-11.370,-23.437,-10.281,3.053,-4.504,0.346,13.074,-13.876,2.620,-30.300,17.359,-40.179,6.508,-13.436,3.522,31.590,14.464,-23.172,1.450,-46.636,5.294,-10.793,-1.141,93.890,180.520,-66.943,-87.553,-51.461,-84.660,-9.364,-65.727,-14.154,-9.780,-29.285,1.875,-86.871,-27.548,-89.185,-18.188,-34.987,-60.364,26.053,11.188,-58.331,-86.160,-93.627,-88.886,-41.075,-86.415
one_right,557,85.862,246.003,-56.762,-83.362,-25.366,-81.461,-36.302,-45.059,-32.684,15.782,26.162,4.784,-90.347,15.943,-81.909,4.930,-37.483,-62.714,16.195,29.010,-49.760,-78.535,-92.796,-78.505,-60.178,-79.515,37.635,9.735,-31.965,-9.391,-0.708,-5.929,-17.637,-0.473,-20.260,21.858,13.691,-0.097,-52.347,25.113,-32.058,2.571,-15.447,15.290,16.374,26.514,-20.825,14.633,-52.685,17.695,-30.360,14.745,87.616,274.119,-56.646,-85.164,-26.180,-80.779,-32.946,-46.213,-33.066,-3.110,21.303,3.194,-91.776,-25.410,-85.095,-20.557,-39.254,-66.448,13.970,25.526,-50.590,-81.377,-93.929,-85.663,-59.267,-81.953
one_right,558,100.977,328.553,-62.473,-85.269,-25.992,-81.404,-12.953,-34.941,-27.882,8.315,-13.355,-2.964,-87.249,15.954,-84.681,3.879,-29.233,-68.095,42.225,36.730,-46.627,-79.858,-90.563,-78.438,-38.400,-79.243,56.924,8.041,-35.512,-10.851,-4.065,0.549,2.386,-0.264,-11.277,13.547,-1.160,-3.427,-42.263,21.737,-35.679,3.538,-15.892,18.536,31.987,28.068,-14.884,14.171,-44.610,22.405,-13.885,18.223,90.416,357.446,-63.137,-87.096,-22.933,-82.202,-13.099,-42.446,-35.764,-3.539,-19.227,2.565,-90.245,-18.083,-87.733,-12.900,-29.473,-70.916,34.294,33.042,-50.495,-82.832,-92.482,-85.420,-38.711,-83.261
one_right,559,90.547,223.004,-69.764,-84.204,-56.437,-83.423,-30.813,-49.233,-10.648,4.167,-16.726,0.501,-78.470,9.461,-79.934,5.609,-32.440,-66.156,28.734,9.317,-61.075,-82.732,-90.621,-81.855,-53.257,-82.818,38.748,5.875,-39.782,-7.845,-17.345,-7.728,-9.158,-0.290,-2.576,14.049,-8.025,-2.147,-25.301,19.587,-29.479,2.604,-3.622,7.858,33.722,14.194,-19.475,5.236,-38.258,10.346,-12.449,7.545,86.394,225.934,-69.246,-86.447,-55.443,-82.864,-29.315,-56.442,-13.060,-15.544,-18.903,1.415,-83.082,-31.434,-84.219,-17.666,-32.423,-67.239,25.960,6.780,-61.262,-85.528,-92.462,-88.251,-52.233,-85.730
one_right,560,152.730,265.913,-62.903,-83.548,-32.498,-78.514,-20.977,-43.974,-29.857,15.245,18.644,7.451,-88.369,12.118,-80.327,4.536,-49.499,-58.868,27.632,50.507,-52.652,-75.238,-92.149,-75.910,-60.093,-76.955,80.461,20.821,-38.948,-13.502,-9.872,-7.354,-1.489,1.237,-15.149,21.427,11.840,3.231,-47.562,23.823,-30.883,5.268,-30.589,7.645,25.260,30.057,-23.526,12.497,-52.739,14.717,-31.622,8.976,141.264,267.905,-61.646,-85.059,-30.650,-77.943,-18.652,-48.485,-32.104,-0.486,13.752,6.706,-90.413,-25.054,-83.938,-19.638,-49.116,-60.068,22.766,46.910,-52.914,-78.050,-93.351,-83.469,-58.607,-79.429
one_right,561,40.988,110.746,-70.280,-83.416,-50.134,-82.870,-38.907,-65.417,-26.508,2.986,-31.415,1.062,-83.183,6.482,-84.306,4.492,-12.538,-49.525,23.311,6.375,-63.352,-82.359,-91.614,-81.760,-46.566,-82.544,12.870,7.202,-41.280,-9.704,-17.799,-6.244,-23.898,-3.750,-9.267,24.027,-12.910,0.571,-31.304,25.444,-34.063,1.720,12.534,20.127,27.017,28.779,-25.416,16.283,-43.532,17.612,-14.360,15.623,40.585,121.399,-68.456,-86.246,-48.514,-81.862,-36.806,-70.397,-29.597,-21.894,-29.825,2.868,-87.701,-33.397,-87.741,-12.282,-18.262,-53.477,14.912,3.002,-63.752,-85.833,-93.668,-87.919,-48.346,-86.228
one_right,562,110.001,381.998,-64.921,-85.419,-44.797,-79.589,-17.065,-31.705,-26.820,8.243,-11.177,2.903,-86.427,18.335,-83.526,12.496,-45.161,-68.562,15.163,51.530,-59.602,-77.906,-92.507,-75.846,-54.519,-78.529,58.178,15.843,-39.596,-13.393,-21.186,-4.924,1.160,-3.139,-9.065,15.330,-5.550,3.581,-37.722,20.042,-35.315,7.813,-24.989,9.292,18.651,26.607,-28.330,9.651,-50.916,14.132,-24.119,5.861,99.565,450.942,-63.486,-87.187,-43.081,-80.166,-18.899,-31.137,-28.488,-4.504,-10.151,2.514,-89.692,-25.151,-87.049,-19.651,-44.140,-73.170,11.476,47.820,-59.296,-81.059,-94.133,-85.155,-54.697,-81.524
one_right,563,116.335,180.928,-68.212,-85.587,-47.511,-83.477,-25.938,-61.536,-25.403,4.653,-7.147,5.267,-86.236,2.615,-82.868,3.218,-43.063,-57.294,23.176,19.974,-60.845,-82.708,-92.776,-83.045,-57.831,-83.573,63.761,16.582,-41.116,-13.263,-23.750,-13.401,-2.956,0.377,-7.846,23.583,-0.632,0.739,-41.757,25.337,-37.198,2.169,-27.131,5.838,19.331,23.388,-29.733,7.022,-55.590,8.541,-29.286,6.237,108.274,190.174,-68.060,-87.844,-46.271,-82.983,-25.371,-65.245,-27.531,-15.704,-10.864,1.489,-89.193,-33.669,-86.708,-20.140,-41.468,-59.332,21.907,18.007,-61.063,-85.655,-94.194,-88.712,-56.318,-85.866
one_right,564,92.492,254.561,-65.026,-84.053,-37.119,-79.598,-29.018,-42.704,-28.428,2.732,-5.155,-1.316,-85.922,7.374,-81.344,3.143,-33.150,-62.931,28.681,31.432,-54.995,-79.040,-91.147,-78.093,-52.549,-78.761,41.986,12.025,-38.808,-10.497,-12.426,-5.107,-9.182,-0.261,-11.560,13.722,-4.332,0.529,-40.352,15.750,-35.477,2.322,-10.857,7.627,26.570,20.570,-22.550,7.914,-47.764,9.839,-19.043,7.346,98.145,299.821,-63.496,-86.777,-33.433,-82.307,-24.688,-47.858,-32.721,-3.115,-3.960,1.394,-88.951,-13.114,-84.227,-9.070,-38.082,-67.576,22.687,29.639,-55.215,-82.858,-92.645,-84.627,-53.368,-83.093
one_right,565,112.950,158.343,-66.621,-81.919,-50.981,-83.638,-10.565,-55.077,-20.335,-3.362,-20.522,3.980,-83.809,-0.088,-83.847,7.503,-45.061,-66.149,16.993,-12.548,-60.949,-84.188,-92.063,-83.652,-50.865,-84.793,54.270,1.096,-36.324,-7.217,-18.107,-9.099,1.964,-8.428,-6.358,18.706,-3.659,2.433,-38.919,22.688,-37.158,5.869,-21.935,15.037,20.432,16.298,-23.314,7.905,-49.979,11.524,-20.401,5.341,109.552,193.287,-65.399,-84.450,-48.394,-83.467,-10.926,-55.112,-23.720,-19.304,-18.599,1.602,-87.131,-33.738,-86.267,-16.571,-45.709,-70.746,13.768,-14.203,-60.635,-86.658,-93.359,-89.045,-51.641,-86.869
one_right,566,64.168,216.925,-60.270,-82.752,-47.279,-86.235,-40.710,-46.685,-28.176,13.321,10.008,2.527,-86.955,24.903,-80.019,13.006,-41.944,-71.463,-4.691,-9.558,-62.134,-84.401,-93.122,-82.806,-65.579,-84.785,30.440,11.347,-31.897,-10.310,-18.529,-11.784,-24.630,-0.376,-13.057,18.756,17.863,0.244,-43.666,24.835,-23.631,5.375,-20.263,4.902,4.009,16.805,-29.167,4.763,-54.104,10.125,-39.902,4.508,60.532,238.426,-59.711,-85.621,-47.240,-86.586,-37.565,-51.696,-29.267,-5.528,3.591,0.743,-90.102,-22.428,-85.504,-17.279,-42.300,-73.958,-7.373,-11.868,-62.681,-87.327,-94.778,-89.594,-63.975,-87.421
one_right,567,115.946,301.805,-63.783,-83.117,-36.485,-84.388,-22.356,-33.609,-34.258,0.746,0.729,2.179,-87.995,5.055,-81.606,6.548,-46.611,-76.814,15.292,-6.838,-58.244,-84.271,-92.375,-83.599,-58.547,-84.607,58.579,12.631,-36.911,-9.060,-9.244,-9.710,-1.536,1.727,-12.802,16.014,1.606,0.688,-42.373,20.066,-32.851,4.205,-20.898,2.267,25.438,15.184,-20.862,4.749,-47.700,8.408,-22.113,4.033,106.987,277.868,-62.341,-84.697,-35.716,-83.675,-21.221,-45.425,-35.184,-14.540,-1.052,5.958,-90.570,-31.599,-85.605,-15.193,-46.547,-75.875,10.641,-8.838,-58.334,-86.049,-93.938,-88.834,-57.890,-86.834
one_right,568,86.051,121.491,-65.883,-83.117,-43.500,-84.409,-4.979,-61.852,-36.908,3.099,-33.199,-1.975,-86.628,10.477,-85.842,5.041,-43.842,-57.015,4.483,-4.792,-64.353,-83.926,-92.445,-82.775,-46.638,-83.602,42.600,7.990,-37.406,-9.350,-13.410,-6.130,9.224,-4.306,-12.775,14.993,-18.279,2.298,-35.658,17.385,-39.718,4.426,-15.384,10.267,20.663,19.078,-24.472,7.945,-44.286,10.190,-7.578,5.520,78.766,128.566,-63.985,-85.787,-41.393,-85.016,-4.755,-65.410,-39.134,-12.196,-32.404,-6.083,-90.015,-21.027,-88.911,-15.528,-44.593,-59.500,-0.950,-7.432,-64.328,-86.843,-94.148,-88.166,-47.227,-85.991
one_right,569,63.562,108.984,-66.808,-83.004,-40.472,-80.402,-36.463,-65.030,-34.286,10.403,-14.555,1.569,-86.166,15.942,-82.012,6.665,-27.945,-39.085,17.855,27.303,-60.882,-78.364,-91.765,-77.278,-54.218,-78.698,37.383,5.678,-38.171,-7.548,-13.667,-7.295,-5.821,-2.639,-13.378,16.830,-9.807,0.350,-36.403,21.005,-33.781,3.936,-11.960,10.854,20.952,17.149,-25.216,8.307,-45.095,12.178,-17.085,7.929,58.540,120.371,-65.118,-85.594,-36.725,-80.022,-36.277,-68.909,-37.770,-8.709,-13.214,2.112,-90.111,-26.790,-86.209,-18.113,-28.799,-42.553,12.883,26.598,-60.624,-81.762,-93.743,-85.374,-54.629,-82.139
one_right,570,88.325,193.663,-71.617,-83.269,-46.309,-80.919,-19.529,-50.447,-25.097,3.622,-33.576,-0.848,-80.934,13.650,-83.092,8.747,-24.762,-59.757,41.691,18.180,-59.784,-80.228,-89.763,-78.314,-39.455,-80.058,46.921,6.085,-43.232,-7.800,-9.029,-0.729,-1.314,-2.795,-7.502,15.113,-15.485,0.623,-27.634,20.279,-33.880,5.140,0.890,16.831,48.229,23.940,-15.854,14.273,-34.168,19.402,-0.436,13.565,84.494,213.807,-70.199,-85.968,-43.650,-81.095,-14.585,-51.574,-29.256,-15.200,-35.631,-9.072,-86.423,-24.973,-87.647,-19.551,-27.494,-63.593,33.769,14.247,-60.135,-83.969,-92.349,-85.816,-38.069,-82.370
one_right,571,100.521,114.872,-68.399,-86.182,-44.779,-85.145,-32.275,-71.693,-27.004,15.457,-6.436,4.887,-86.454,17.288,-82.637,6.549,-36.386,-42.232,27.559,24.127,-59.691,-82.849,-92.520,-82.577,-56.918,-83.648,56.219,11.764,-45.523,-14.546,-22.247,-13.057,-10.862,-6.485,-9.685,27.140,-4.526,2.131,-36.824,30.469,-33.215,4.806,-17.486,15.739,28.902,29.354,-29.778,10.539,-50.879,13.434,-26.449,8.232,96.481,125.030,-67.457,-88.668,-42.048,-84.756,-32.305,-73.577,-30.839,-9.999,-5.546,-3.495,-89.905,-23.259,-86.214,-17.714,-37.315,-46.195,23.163,21.078,-59.919,-86.280,-94.150,-88.301,-57.566,-85.783
