physics_tag,source_method,beta,h,M,n_frozen_seeds,n_bias_sources,frozen_recon_l2_f_median,frozen_recon_l2_f_q25,frozen_recon_l2_f_q75,learned_bias_l2_f,online_l2_f_median
b1_h2_w2_n10_a1.5,abf,1.0,2.0,100,8,10,0.21903174734807196,0.21639872495936566,0.22165853822366557,0.0878130357255603,0.08784255229561672
b1_h2_w2_n10_a1.5,fr_estimated,1.0,2.0,100,8,10,0.21224831967533886,0.20753376413134503,0.21853475398432953,0.04415435120870077,0.043056585284019885
b1_h2_w2_n10_a1.5,fr_estimated_adaptive,1.0,2.0,100,8,10,0.2167829710662388,0.21180236133385688,0.22039253629681765,0.0431999444952029,0.04298432109176792
b4_h1_w2_n10_a1.5,abf,4.0,1.0,100,8,10,0.01774801000611169,0.01710211248013413,0.01901426181892697,0.0052285558673196035,0.005307336022502647
b4_h1_w2_n10_a1.5,fr_estimated,4.0,1.0,100,8,10,0.018784236587036904,0.018143956466110944,0.020052250324633838,0.024382148079624577,0.0241847443451771
b4_h1_w2_n10_a1.5,fr_estimated_adaptive,4.0,1.0,100,8,10,0.01693207321678263,0.016463710799800968,0.01789704154868397,0.013381305365321271,0.013563873582930285
