x,F_ref,Fprime_ref,p_ref,force_second_moment_ref,force_var_ref
-3.0,14.586946438418035,-21.76094701103388,2.064983438553011e-34,473.54795179898224,0.00913698195785173
-2.985,14.26284500160631,-21.45323039325627,7.54985194818352e-34,460.2511841244277,0.010089818293124608
-2.97,13.943329928792872,-21.149433358547938,2.710147744893048e-33,447.3096586454711,0.011127257810755964
-2.955,13.62834235530408,-20.849565449725752,9.553938193498038e-33,434.7166343142483,0.01225487185052998
-2.94,13.317823269530221,-20.553636710779543,3.3083338559431256e-32,422.46546037829444,0.013478339589937605
-2.925,13.011713505632159,-20.26165765601343,1.1255802252423017e-31,410.5495743792893,0.014803409801686485
-2.91,12.709953736755464,-19.97363923314089,3.763456187414672e-31,398.9625000715266,0.01623585586162335
-2.895,12.412484468847568,-19.689592779665855,1.2369265481374007e-30,387.6978452526363,0.01778142356653234
-2.88,12.119246035183979,-19.40952997184621,3.9971573551567174e-30,376.74929949936455,0.019445771368168607
-2.865,11.830178591720232,-19.133462765504092,1.2703190992099816e-29,366.1106318016565,0.021234402724985557
-2.85,11.545222113397536,-18.86140332792433,3.9713021619958406e-29,355.7756880889966,0.023152590361689818
-2.835,11.264316391541675,-18.59336396006807,1.221563793446877e-28,345.7383886439259,0.02520529236761604
-2.82,10.987401032506147,-18.329357008326074,3.69800421212794e-28,335.99272539889535,0.02739706022316568
-2.805,10.714415457722247,-18.0693947650487,1.1020261919902076e-27,326.5327591142072,0.029731939037844768
-2.79,10.44529890532996,-17.813489357118858,3.2336666776372055e-27,317.35261643669935,0.032213360512514555
-2.775,10.179990433574332,-17.561652621884033,9.345085355924828e-27,308.4464868411213,0.03484402939500342
-2.76,9.918428926161463,-17.313895969835354,2.660493179362826e-26,299.80861945877933,0.03762580449841835
-2.745,9.66055309977703,-17.070230233520434,7.463427931524314e-26,291.4333198010618,0.04055957566674806
-2.73,9.406301513976853,-16.830665502302345,2.0635670584787958e-25,283.3149463888198,0.043645138429553754
-2.715,9.155612583663844,-16.595210942733967,5.62483597901999e-25,275.4479073022879,0.04688106845065931
