seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct
820,218.3415,206.2787,-5.525,0.71879,0.59741,-16.888
821,220.6986,207.6464,-5.914,0.75965,0.64634,-14.916
822,198.1678,187.2400,-5.514,0.70275,0.56895,-19.040
823,247.3435,229.2578,-7.312,0.75885,0.61069,-19.525
824,233.8276,224.7881,-3.866,0.84593,0.77198,-8.742
825,223.5221,202.0774,-9.594,0.82595,0.61567,-25.460
826,229.6252,224.0901,-2.410,0.76490,0.73173,-4.335
827,211.9209,202.0756,-4.646,0.74212,0.57827,-22.079
828,218.4691,198.9143,-8.951,0.83664,0.65253,-22.006
829,219.0810,210.6038,-3.869,0.76039,0.61383,-19.274
830,197.6596,181.8523,-7.997,0.78374,0.60618,-22.656
831,244.9897,234.4298,-4.310,0.72519,0.70548,-2.719
832,213.1313,191.1330,-10.321,0.67305,0.51735,-23.132
833,197.2192,184.6498,-6.373,0.76377,0.61771,-19.124
834,212.8725,208.0697,-2.256,0.66137,0.65566,-0.863
835,244.2990,229.0301,-6.250,0.74328,0.55012,-25.987
