seed,int_abf,int_uni,d_int_pct,final_abf,final_uni,d_final_pct
840,242.1332,222.7084,-8.022,0.64649,0.44884,-30.573
841,221.2344,208.4312,-5.787,0.62527,0.45493,-27.243
842,220.2296,206.7242,-6.132,0.66781,0.52994,-20.645
843,232.3644,220.2869,-5.198,0.73310,0.57059,-22.167
844,192.1784,174.1926,-9.359,0.70815,0.48167,-31.982
845,231.8406,215.5277,-7.036,0.65164,0.44339,-31.958
846,234.2043,224.5371,-4.128,0.65544,0.56482,-13.826
847,218.9428,206.4661,-5.699,0.65466,0.52004,-20.563
848,225.8674,217.0545,-3.902,0.68819,0.58382,-15.165
849,235.6141,222.4503,-5.587,0.62148,0.46036,-25.926
850,183.3042,169.7661,-7.386,0.55502,0.39283,-29.224
851,222.7136,205.3316,-7.805,0.48806,0.34480,-29.352
852,244.5770,230.5594,-5.731,0.59460,0.42154,-29.105
853,238.1388,221.1700,-7.126,0.74349,0.50858,-31.596
854,230.2848,211.4224,-8.191,0.55058,0.40739,-26.007
855,220.0501,208.9225,-5.057,0.62600,0.47307,-24.430
